subject,precision.pmt,precision.rg,recall.pmt,recall.rg,fmeasure.pmt,fmeasure.rg,auc.pmt,auc.rg
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geoip-api-java.arff,0.970013143,0.010675236,0.959766694,0.103321033,0.962419789,0.019351097,0.982396121,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geojson-jackson.arff,0.933910307,0.203954214,0.922580645,0.451612903,0.922696697,0.281003584,0.95796354,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\getdown.arff,0.994726296,2.93E-04,0.9923771,0.017112632,0.993056542,5.76E-04,0.997409278,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\glacieruploader.arff,0.913746898,0.101473075,0.88172043,0.318548387,0.885360557,0.153916346,0.895500961,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\greplin-bloom-filter.arff,0.785028714,0.343038641,0.750337382,0.585695007,0.728626625,0.432666609,0.780058992,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\greplin-lucene-utils.arff,0.972999651,0.022069705,0.971175166,0.148558758,0.971726779,0.038430258,0.99055115,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\greplin-zookeeper-utils.arff,0.847432989,0.33494017,0.803149606,0.578740157,0.788503371,0.424313233,0.813274843,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\gson-fire.arff,0.854829872,0.272061015,0.810631229,0.521594684,0.802674891,0.357599849,0.869274584,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\gwt-bootstrap.arff,0.999843579,4.14E-06,0.999843554,0.002033792,0.999840432,8.26E-06,1,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\hadoop-book.arff,0.990520916,3.24E-04,0.984912652,0.017998941,0.986802011,6.36E-04,0.993094974,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\hashids-java.arff,0.942003389,0.454222907,0.93654267,0.673960613,0.934548667,0.542692467,0.94219036,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\HTTP-Proxy-Servlet.arff,0.987331676,0.013468568,0.986460348,0.116054159,0.986693903,0.024136047,0.996462436,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\IClojure.arff,0.987793443,0.006871766,0.987408185,0.082896118,0.987549199,0.01269146,0.996876491,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\invokebinder.arff,0.935368399,0.167813465,0.933530281,0.409650419,0.933805017,0.238092314,0.966029178,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jackson-dataformat-csv.arff,0.928763478,0.091047727,0.912942021,0.30174116,0.915311836,0.13988607,0.959246141,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jackson-datatype-guava.arff,0.898127498,0.187132655,0.870944484,0.43258832,0.871128053,0.261251124,0.933915714,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jackson-datatype-joda.arff,0.888434475,0.237702948,0.861111111,0.487547893,0.85915115,0.319590312,0.86281145,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jackson-module-afterburner.arff,0.866518862,0.329626872,0.836945304,0.574131407,0.828821407,0.418804772,0.846552132,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\JActor.arff,0.843652198,0.153844825,0.784461153,0.392230576,0.785578952,0.221004807,0.856381542,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\JAdventure.arff,0.975172956,0.004490851,0.961059543,0.06701381,0.964993243,0.008417606,0.989976357,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\java-grok.arff,0.956127596,0.09584784,0.950581395,0.309593023,0.951401269,0.146378055,0.972270818,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\java-jwt.arff,0.916992581,0.701236037,0.907859079,0.837398374,0.892047623,0.763292323,0.806472492,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\java-libpst.arff,0.952371169,0.020914132,0.930624817,0.14461719,0.935769969,0.036543452,0.964383224,0.5
