subjects,AUC-naive,AUC-balance,AUC-cost,yesratio
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\scrypt.arff,0.866386806,0.828728505,0.841591578,0.814849624
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\GenericTree.arff,0.93951094,0.938095238,0.941055341,0.814977974
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\kafka-spout.arff,0.792280983,0.790923722,0.78707265,0.815864023
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\mimecraft.arff,0.873659674,0.828205128,0.810606061,0.815899582
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cors-filter.arff,0.667944368,0.647941016,0.679502692,0.8175
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\JavaVerbalExpressions.arff,0.913733445,0.931929364,0.918655292,0.832853026
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\dropwizard-quartz.arff,0.652066116,0.648760331,0.566115702,0.833333333
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\java-jwt.arff,0.806472492,0.818375124,0.777238403,0.837398374
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\jsemver.arff,0.895108502,0.891832903,0.891326539,0.861969806
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\flip-tables.arff,0.629480287,0.504032258,0.593062798,0.932330827
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\log4j-jsonevent-layout.arff,0.968045113,0.991854637,0.94047619,0.94214876
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\microorm.arff,0.93095313,0.93095313,0.935357031,0.963333333
